project_id,project_name,ministry,sector,budget_allocated_cr,budget_utilized_cr,budget_utilized_pct,start_date,planned_end_date,planned_duration_months,months_elapsed,percent_complete,reporting_delay_days,last_report_gap_days,is_delayed
PRJ-00001,Mineral exploration project 1,Mines,Mineral exploration,127.2,119.82,94.2,2025-07-21,2026-10-14,15,14,96.5,10,0,0
PRJ-00002,Rural water supply project 2,Jal Shakti,Rural water supply,95.85,26.93,28.1,2024-10-21,2028-02-03,40,23,33.4,9,2,1
PRJ-00003,Metro rail project 3,Railways,Metro rail,91.34,25.39,27.8,2022-01-18,2024-02-07,25,56,24.7,4,4,1
PRJ-00004,Irrigation canals project 4,Agriculture,Irrigation canals,26.73,26.65,99.7,2022-01-10,2028-09-05,81,57,95.8,12,0,0
PRJ-00005,Bridges project 5,Road Transport & Highways,Bridges,14.94,10.01,67.0,2022-11-13,2028-04-15,66,46,69.9,0,13,0
PRJ-00006,State highways project 6,Road Transport & Highways,State highways,17.67,7.83,44.3,2026-01-04,2027-11-25,23,8,40.4,5,13,1
PRJ-00007,Transmission lines project 7,Power,Transmission lines,87.49,36.4,41.6,2024-11-15,2031-02-12,76,22,39.9,6,1,0
PRJ-00008,Steel plant expansion project 8,Steel,Steel plant expansion,17.96,0.0,0.0,2026-01-11,2032-11-05,83,8,5.0,2,9,0
PRJ-00009,Transmission lines project 9,Power,Transmission lines,101.63,74.8,73.6,2022-03-01,2028-10-25,81,55,67.5,0,0,0
PRJ-00010,Gas pipelines project 10,Petroleum & Natural Gas,Gas pipelines,142.13,39.23,27.6,2024-12-10,2030-08-11,69,21,33.8,10,1,0
PRJ-00011,Solar parks project 11,New & Renewable Energy,Solar parks,102.58,11.18,10.9,2024-08-14,2025-08-09,12,25,22.9,3,15,1
PRJ-00012,Thermal power project 12,Power,Thermal power,197.4,143.12,72.5,2022-04-07,2027-09-08,66,54,64.5,5,9,1
PRJ-00013,Smart city infra project 13,Housing & Urban Affairs,Smart city infra,63.65,53.02,83.3,2024-08-14,2027-03-02,31,25,86.3,5,4,0
PRJ-00014,Transmission lines project 14,Power,Transmission lines,215.85,226.64,105.0,2020-10-23,2025-04-30,55,71,98.0,2,0,0
PRJ-00015,Rail track doubling project 15,Railways,Rail track doubling,23.31,8.3,35.6,2025-08-29,2030-08-03,60,12,32.3,21,19,0
PRJ-00016,Rail track doubling project 16,Railways,Rail track doubling,396.8,143.64,36.2,2024-03-01,2028-10-06,56,30,39.9,18,6,1
PRJ-00017,Steel plant expansion project 17,Steel,Steel plant expansion,98.0,91.92,93.8,2024-09-11,2026-02-03,17,24,98.0,0,1,0
PRJ-00018,Coal mining infra project 18,Coal,Coal mining infra,120.16,126.17,105.0,2023-03-04,2025-05-22,27,43,98.0,3,42,0
PRJ-00019,Refineries project 19,Petroleum & Natural Gas,Refineries,5.5,3.89,70.8,2025-09-26,2032-06-21,82,11,46.2,2,0,1
PRJ-00020,Urban housing project 20,Housing & Urban Affairs,Urban housing,124.1,64.16,51.7,2021-07-12,2026-04-17,58,63,51.8,2,3,1
PRJ-00021,Solar parks project 21,New & Renewable Energy,Solar parks,294.62,247.48,84.0,2025-02-06,2026-09-29,20,19,98.0,2,12,0
PRJ-00022,State highways project 22,Road Transport & Highways,State highways,21.22,22.28,105.0,2022-06-21,2025-11-02,41,51,98.0,14,0,0
PRJ-00023,Urban housing project 23,Housing & Urban Affairs,Urban housing,8.88,3.55,40.0,2025-09-24,2029-02-05,41,11,24.5,8,33,0
PRJ-00024,Rail track doubling project 24,Railways,Rail track doubling,40.26,30.52,75.8,2024-01-18,2027-11-28,47,32,70.2,0,12,0
PRJ-00025,Coal mining infra project 25,Coal,Coal mining infra,89.63,89.09,99.4,2022-08-13,2027-05-19,58,49,91.6,6,4,0
